control_id,control_name,description,ai_act_article,ai_act_obligation,actor_role,risk_category,nist_ai_rmf,iso_42001,owasp_llm_top10,mitre_atlas,gdpr_article,dora_article,implementation_evidence,status,maturity_level,phase
AISEC-RM-001,AI System Risk Classification,Classify AI system according to EU AI Act risk tiers (prohibited / high-risk / limited-risk / minimal). Document classification rationale with references to Article 6 and Annex III.,Art. 6; Annex III,Mandatory,Provider; Deployer,All,GOVERN 1.1; MAP 1.1,6.1.2; A.2,—,—,—,—,project/risk_management/risk_classification.py,documented,1,Phase 1
AISEC-RM-002,Risk Management System,"Establish and maintain a continuous risk management system throughout the AI system lifecycle. Must include identification, estimation, evaluation, and mitigation of risks.",Art. 9(1),Mandatory,Provider,High-Risk,GOVERN 1.4; MAP 3.1; MANAGE 1.1,6.1.2; A.3; A.4,—,AML.T0000,—,Art. 6(1),project/risk_management/risk_register.yaml,planned,1,Phase 1
AISEC-RM-003,Known and Foreseeable Risk Identification,"Identify and document known and reasonably foreseeable risks to health, safety, and fundamental rights. Include risks from intended use and reasonably foreseeable misuse.",Art. 9(2)(a),Mandatory,Provider,High-Risk,MAP 2.1; MAP 2.2; MAP 2.3,A.3; A.4,LLM09:Misinformation,AML.T0016; AML.T0043,Art. 35,Art. 6(1),project/risk_management/risk_register.yaml,planned,1,Phase 1
AISEC-RM-004,Residual Risk Evaluation,Evaluate residual risks after mitigation measures are applied. Ensure residual risk is acceptable relative to the intended purpose. Document risk acceptance criteria.,Art. 9(2)(d),Mandatory,Provider,High-Risk,MANAGE 2.1; MANAGE 2.2,A.4,—,—,—,—,project/risk_management/residual_risk_report.md,planned,2,Phase 1
AISEC-RM-005,Risk Mitigation Measures,Design and implement technical measures to eliminate or reduce identified risks. Provide adequate information to deployers. Implement human oversight where applicable.,Art. 9(2)(b);(c),Mandatory,Provider,High-Risk,MANAGE 2.3; MANAGE 2.4,A.4; A.5,—,AML.T0048,—,—,project/risk_management/mitigation_controls.yaml,planned,1,Phase 1
AISEC-RM-006,Testing for Risk Management,Perform testing against defined metrics and probabilistic thresholds for each identified risk. Testing must be suitable for the intended purpose including adversarial testing.,Art. 9(6);(7),Mandatory,Provider,High-Risk,MEASURE 2.5; MEASURE 2.6,A.7,LLM01:Prompt Injection; LLM05:Improper Output Handling,AML.T0015; AML.T0043; AML.T0044,—,Art. 6(1),project/risk_management/risk_tests/,planned,2,Phase 4
AISEC-DG-001,Data Governance Framework,"Establish data governance and management practices covering training, validation, and testing data. Define data collection processes, operations, and quality criteria.",Art. 10(2),Mandatory,Provider,High-Risk,MAP 2.2; MANAGE 3.1,A.6,LLM06:Excessive Agency,AML.T0020,Art. 5(1)(b);(c),—,project/data_governance/governance_framework.md,planned,1,Phase 2
AISEC-DG-002,Training Data Quality and Relevance,"Ensure training datasets are relevant, sufficiently representative, and as free of errors as possible. Apply appropriate data preparation steps including annotation, labelling, cleaning.",Art. 10(3),Mandatory,Provider,High-Risk,MAP 2.2; MEASURE 2.7,A.6; A.7,LLM04:Data and Model Poisoning,AML.T0020; AML.T0019,—,—,project/data_governance/data_quality_pipeline.py,planned,2,Phase 2
AISEC-DG-003,Bias Detection and Mitigation,"Examine training, validation, and testing datasets for possible biases likely to affect health, safety, or fundamental rights. Implement bias detection and correction measures.",Art. 10(2)(f);(g),Mandatory,Provider,High-Risk,MEASURE 2.7; MANAGE 3.2,A.6; A.7,—,AML.T0019,Art. 22; Art. 9,—,project/data_governance/bias_detection.py,planned,2,Phase 2
AISEC-DG-004,Data Provenance and Lineage,"Maintain records of data origin, collection method, processing steps, and transformations applied to training data. Enable traceability of data through the pipeline.",Art. 10(2)(b);(c),Mandatory,Provider,High-Risk,MAP 2.2; GOVERN 1.5,A.6,LLM04:Data and Model Poisoning,AML.T0020,Art. 30,—,project/data_governance/data_lineage.json,planned,1,Phase 2
